username,public_repos,public_gists,followers,following,created_at,updated_at
torvalds,12,1,306309,0,2011-09-03T15:26:22Z,2026-06-02T05:33:59Z
gaearon,296,82,90810,174,2011-05-25T18:18:31Z,2026-06-09T16:41:43Z
sindresorhus,1134,99,79729,31,2009-12-20T22:57:02Z,2026-05-28T18:00:42Z
tj,296,551,51769,45,2008-09-18T22:37:28Z,2026-04-02T08:29:42Z
yyx990803,198,73,108187,100,2010-11-28T01:05:40Z,2026-04-24T09:28:14Z
addyosmani,356,176,49265,266,2009-08-01T18:39:25Z,2026-04-17T06:03:52Z
getify,74,411,45143,3,2009-11-08T06:56:21Z,2026-04-28T20:14:44Z
defunkt,107,274,22709,215,2007-10-20T05:24:19Z,2025-08-08T19:18:26Z
mojombo,66,62,24632,11,2007-10-20T05:24:19Z,2026-05-29T01:54:43Z
pjhyett,8,21,8403,30,2008-01-07T17:54:22Z,2026-04-07T17:46:52Z
octocat,8,8,22899,9,2011-01-25T18:44:36Z,2026-05-22T11:38:32Z
kennethreitz,77,262,29877,224,2009-08-26T21:17:47Z,2026-05-14T18:23:32Z
mitsuhiko,340,272,25019,25,2008-04-15T10:03:57Z,2026-06-07T08:25:02Z
pallets,17,0,2329,0,2016-01-17T21:29:18Z,2026-06-09T17:10:32Z
psf,42,0,2339,0,2019-05-14T15:17:53Z,2026-06-09T17:01:03Z
numpy,33,0,2114,0,2010-05-27T03:35:06Z,2026-06-02T11:31:44Z
pandas-dev,16,0,5270,0,2016-08-23T21:37:18Z,2026-05-12T12:00:34Z
scikit-learn,16,0,5495,0,2010-08-16T07:44:52Z,2025-11-03T14:59:31Z
matplotlib,54,0,1574,0,2010-03-04T18:24:32Z,2026-05-16T11:25:56Z
fastapi,10,0,3354,0,2024-01-11T17:41:07Z,2024-07-30T01:03:21Z
docker,148,0,14566,0,2013-09-10T17:53:43Z,2026-03-30T21:15:16Z
kubernetes,80,0,13787,0,2015-08-03T17:55:43Z,2024-08-28T00:31:39Z
tensorflow,107,0,21379,0,2015-11-04T19:32:50Z,2025-06-28T19:58:28Z
pytorch,70,0,13162,0,2016-08-13T05:07:47Z,2026-05-07T21:24:50Z
microsoft,8024,0,122152,0,2013-12-10T19:06:48Z,2025-06-06T20:30:56Z
google,2879,0,73812,0,2012-01-18T01:30:18Z,2025-06-28T19:58:20Z
facebook,165,12,35784,0,2009-04-02T03:35:22Z,2026-05-07T21:24:44Z
openai,255,0,123274,0,2015-10-03T19:34:05Z,2026-04-17T23:58:17Z
vercel,234,0,28814,0,2015-10-05T19:40:30Z,2026-04-28T17:04:11Z
nodejs,231,0,16005,0,2014-11-25T17:10:50Z,2026-06-06T11:39:03Z
rust-lang,242,0,17393,0,2013-09-10T21:48:20Z,2025-11-18T16:06:04Z
golang,61,0,12212,0,2013-05-01T18:00:52Z,2025-10-16T16:15:40Z
django,30,0,9541,0,2008-10-06T19:43:18Z,2026-05-18T11:31:50Z
laravel,132,0,10759,0,2011-08-04T03:44:54Z,2026-06-02T15:48:04Z
spring-projects,80,0,16518,0,2010-06-29T18:58:02Z,2025-03-27T14:46:05Z
apache,3135,0,23040,0,2009-01-17T20:14:40Z,2026-05-12T11:24:29Z
mozilla,2551,0,10545,0,2009-09-26T08:22:18Z,2026-04-06T02:38:43Z
wordpress,200,0,4708,0,2010-05-13T22:42:10Z,2026-05-17T17:41:50Z
electron,111,0,3936,0,2015-07-19T23:17:47Z,2026-05-14T13:03:52Z
